	avg cpu times	avg numpy cpu times	avg gpu times	boost
0	0.00022482872009277344	2.8681755065917968e-05	0.15886621475219725	0.00018054030626119187
1	0.14779024124145507	0.0008209228515625	0.00017044544219970703	4.816337949363548
2	0.23536877632141112	0.0015568017959594726	0.0001554727554321289	10.01334151203803
3	0.35634841918945315	0.0022956132888793945	0.0001613616943359375	14.226507092198583
4	0.686667013168335	0.003149604797363281	0.00017883777618408204	17.61151846420477
5	0.5710409879684448	0.0037548303604125976	0.00017244815826416015	21.77367620627679
6	0.9048739671707153	0.004554200172424317	0.00017583370208740234	25.900610169491525
7	0.8900058984756469	0.005350136756896972	0.00018174648284912108	29.4373606191788
8	1.0461129665374755	0.0061424970626831055	0.0001924753189086914	31.91316734794996
9	1.2568275690078736	0.0067391633987426754	0.00020265579223632812	33.25423529411765
